,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
61,61,50,0.5700000000000001,1,0,0,1,1,0,0.9,1,1,0,27453.8724,0,33809.5721,33809.5721,1.0706162794455512,98295.0374,0,235778.9376,0.0,4.206179768336,4.206179768336,0.0,3.8372166307626676,3.8372166307626676,2038.0,2038.0,10.1631,10.1631,11.3121,10.3198,19247.8366,40388.1031,6801.7501,95135.9554,1244.3932,21098.5901,40388.1031,9430.4782,105971.1367,1244.3932
62,62,50,0.5700000000000001,1,0,0,1,0,1,0.9,1,1,0,15762.1104,0,18978.9079,18978.9079,1.2525778167050645,47671.7927,0,117272.9331,0.0,2.32313665266,2.32313665266,0.0,2.11935273576,2.11935273576,2039.0,2039.0,10.07,10.07,9.9332,9.0618,10236.5497,19890.8284,4584.0322,50829.1536,355.6329,11220.8333,19890.8284,5936.1174,56382.32,355.6329
63,63,50,0.5700000000000001,1,0,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,48942.5675,0,56046.3509,56046.3509,2.1764711885833314,94775.9959,0,71599.0454,0.0,5.638285840913404,5.638285840913404,0.0,5.143699363640296,5.143699363640296,2052.0,2052.0,4.8522,4.8522,8.1368,7.423,7117.5673,35143.9431,17404.0576,108608.1354,0,7801.9487,35143.9431,20443.5526,119435.7952,0
65,65,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,41650.7436,0,47574.6241,47574.6241,2.321626079344615,75590.342,0,64951.2827,0.0,4.708083136403525,4.708083136403525,0.0,4.2950933875962,4.2950933875962,2051.0,2051.0,5.0578,5.0578,7.7718,7.0901,6360.3723,28020.7231,14944.6742,90976.5132,0,6971.9466,28020.7231,17479.6602,100046.954,0
66,66,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,7273.5781,0,8453.931,8453.931,1.607110658597311,19185.6538,0,10836.7378,0.0,0.9348801957535916,0.9348801957535916,0.0,0.8528731610383643,0.8528731610383643,2061.0,2061.0,3.6999,3.6999,9.9339,9.0625,740.2707,7123.22,2488.4215,17625.4903,0,811.4506,7123.22,2993.5182,19382.1198,0
67,67,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-24737.9986,0,-18127.5343,-18127.5343,0.0,307102.9882,0,616923.4956,0.0,6.496629481477801,6.496629481477801,0.0,5.926749702400801,5.926749702400801,2040.0,2040.0,15.9137,15.9137,22.8821,20.8749,34860.2658,92801.3929,1020.8656,106685.324,2740.7983,38212.2144,92801.3929,1316.6569,116943.5282,2740.7983
69,69,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-12528.6291,0,-9227.1253,-9227.1253,0.0,145004.5882,0,295962.2457,0.0,2.841889777378201,2.841889777378201,0.0,2.5926012004152,2.5926012004152,2038.0,2038.0,15.3041,15.3041,24.6988,22.5322,16150.7637,45439.1487,317.2132,51279.6527,1901.1562,17703.7217,45439.1487,393.4872,56210.3886,1901.1562
70,70,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-11924.4664,0,-8573.8484,-8573.8484,0.0,162098.4,0,325150.225,0.0,3.7027795902111,3.7027795902111,0.0,3.3779743629996006,3.3779743629996006,2042.0,2042.0,16.4129,16.4129,21.191,19.3321,18652.4038,47362.2442,453.4085,55510.1974,966.6073,20445.9042,47362.2442,646.8091,60847.7163,966.6073
