,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b
30,30,35,2.5,700,364,0,365286.4921,0,208364.4835,208364.4835,4.732230053455842,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
31,31,40,2.5,700,364,0,365286.4921,0,274405.4169,274405.4169,6.199307258895428,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
32,32,45,2.5,700,364,0,365286.4921,0,340392.0652,340392.0652,7.666384464335008,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
33,33,50,2.5,700,364,0,365286.4921,0,406378.7135,406378.7135,9.133461669774587,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
34,34,55,2.5,700,364,0,365286.4921,0,472365.3618,472365.3618,10.600538875214173,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
35,35,60,2.5,700,364,0,365286.4921,0,538352.0101,538352.0101,12.06761608065375,316409.8722,0,536673.4361,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,6.6197,6.6197,3.9028,1.8733
36,36,20,2.5,700,424,0,357146.5931,0,9.4091,9.4091,0.1502086447860317,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
37,37,25,2.5,700,424,0,357146.5931,0,67701.3098,67701.3098,1.6172858502256124,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
38,38,30,2.5,700,424,0,357146.5931,0,134139.8228,134139.8228,3.0843630556651926,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
39,39,35,2.5,700,424,0,357146.5931,0,200198.5982,200198.5982,4.551440261104773,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
40,40,40,2.5,700,424,0,357146.5931,0,266251.1556,266251.1556,6.018517466544359,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
41,41,45,2.5,700,424,0,357146.5931,0,332252.1661,332252.1661,7.485594671983939,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
42,42,50,2.5,700,424,0,357146.5931,0,398238.8144,398238.8144,8.952671877423517,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
43,43,55,2.5,700,424,0,357146.5931,0,464225.4627,464225.4627,10.419749082863103,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
44,44,60,2.5,700,424,0,357146.5931,0,530212.111,530212.111,11.886826288302679,316409.8722,0,570842.5362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.0411,7.0411,3.9028,1.8733
45,45,20,2.5,700,484,0,349006.694,0,-8871.3546,-8871.3546,0.0,316409.8722,0,605011.6362,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.4626,7.4626,3.9028,1.8733
