,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
46,46,40,0,0.555,1,0,1,1,0,1,0,0,0,1,27.449381353389747,0,40218.9144,0,0,0,7.483756618231393e-10,91258.2503,0,53994.5338,0.0,3.6365616624875003,3.6365616624875003
47,47,40,0,0.555,1,0,1,1,0,1,0,0,0,0,27.06296763577318,0,22354.0463,0,0,0,0.0,49145.2975,0,28112.7206,0.0,2.0487904910749997,2.0487904910749997
48,48,40,0,0.555,1,0,1,1,0,0,1,1,1,1,27.033295330672242,0,78553.2883,0,0,0,4.546812245438637e-10,171389.3083,0,102328.7208,0.0,7.007588560262502,7.007588560262502
49,49,40,0,0.555,1,0,1,1,0,0,1,1,1,0,26.77513096194416,0,60658.3093,0,0,0,2.1404776015026713e-10,129276.3555,0,76446.9076,0.0,5.3867792632875,5.3867792632875
50,50,40,0,0.555,1,0,1,1,0,0,1,1,0,1,27.28516311639137,0,63364.1449,0,0,0,5.61362954402552e-10,139257.7214,0,90670.0622,0.0,5.7754073702375,5.7754073702375
51,51,40,0,0.555,1,0,1,1,0,0,1,1,0,0,27.050147041752556,0,45519.0163,0,0,0,0.0,97144.7686,0,64788.249,0.0,4.1545980732625,4.1545980732625
52,52,40,0,0.555,1,0,1,1,0,0,1,0,1,1,26.88449850939345,0,65829.3728,0,0,0,5.341159062454887e-10,143765.4175,0,79810.2058,0.0,5.7610946953875,5.7610946953875
53,53,40,0,0.555,1,0,1,1,0,0,1,0,1,0,26.464971775232815,0,47998.6156,0,0,0,0.0,101652.4647,0,53928.3926,0.0,4.1994413499125,4.1994413499125
54,54,40,0,0.555,1,0,1,1,0,0,1,0,0,1,27.158594211818276,0,50706.1949,0,0,0,0.0,111633.8305,0,68151.5472,0.0,4.5289135053625005,4.5289135053625005
55,55,40,0,0.555,1,0,1,1,0,0,1,0,0,0,26.756616535826772,0,32822.8819,0,0,0,1.1825776829025717e-09,69520.8777,0,42269.734,0.0,2.9081042083875004,2.9081042083875004
56,56,40,0,0.555,1,0,1,1,0,0,0,1,1,1,27.22860398977323,0,45689.9674,0,0,0,3.2480339554998234e-10,101868.4306,0,60058.9868,0.0,4.099484351875,4.099484351875
57,57,40,0,0.555,1,0,1,1,0,0,0,1,1,0,26.7745848159486,0,27819.5374,0,0,0,1.3155004321616226e-09,59755.4778,0,34177.1736,0.0,2.511272579837501,2.511272579837501
58,58,40,0,0.555,1,0,1,1,0,0,0,1,0,1,27.82589615432196,0,30604.3106,0,0,0,0.0,69736.8437,0,48400.3282,0.0,2.8673031618500007,2.8673031618500007
