,ID,D,E_Brent,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
132,132,1,50,0.25,0,0,0,1,1,0,-100960.0815,0,-107401.4964,-107401.4964,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
133,133,1,55,0.25,0,0,0,1,1,0,-100960.0815,0,-63037.0077,-63037.0077,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
134,134,1,60,0.25,0,0,0,1,1,0,-100960.0815,0,-20670.8178,-20670.8178,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
135,135,1,20,0.345,0,0,0,1,1,0,-112751.4284,0,0,0,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
136,136,1,25,0.345,0,0,0,1,1,0,-112751.4284,0,-334593.2371,-334593.2371,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
137,137,1,30,0.345,0,0,0,1,1,0,-112751.4284,0,-293041.7603,-293041.7603,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
138,138,1,35,0.345,0,0,0,1,1,0,-112751.4284,0,-250350.7159,-250350.7159,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
139,139,1,40,0.345,0,0,0,1,1,0,-112751.4284,0,-206726.5519,-206726.5519,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
140,140,1,45,0.345,0,0,0,1,1,0,-112751.4284,0,-163153.8847,-163153.8847,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
141,141,1,50,0.345,0,0,0,1,1,0,-112751.4284,0,-119163.378,-119163.378,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
142,142,1,55,0.345,0,0,0,1,1,0,-112751.4284,0,-74936.6468,-74936.6468,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
143,143,1,60,0.345,0,0,0,1,1,0,-112751.4284,0,-31310.2018,-31310.2018,0.0,1654540.5802,209877.2954,2640201.3893,98.61644601600007
144,144,1,20,0.06,0,0,1,0,0,0,14003.4835,0,-106060.2925,-106060.2925,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
145,145,1,25,0.06,0,0,1,0,0,0,14003.4835,0,-87438.4052,-87438.4052,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
146,146,1,30,0.06,0,0,1,0,0,0,14003.4835,0,-68394.5435,-68394.5435,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
147,147,1,35,0.06,0,0,1,0,0,0,14003.4835,0,-48660.7915,-48660.7915,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
148,148,1,40,0.06,0,0,1,0,0,0,14003.4835,0,-28904.6168,-28904.6168,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
149,149,1,45,0.06,0,0,1,0,0,0,14003.4835,0,-8973.7952,-8973.7952,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
150,150,1,50,0.06,0,0,1,0,0,0,14003.4835,0,11065.4005,11065.4005,0.09313761366469327,370746.688,209877.2954,686182.1766,26.87694643199999
151,151,1,55,0.06,0,0,1,0,0,0,14003.4835,0,31062.5318,31062.5318,0.2614537176839446,370746.688,209877.2954,686182.1766,26.87694643199999
152,152,1,60,0.06,0,0,1,0,0,0,14003.4835,0,51223.663,51223.663,0.43115021015852667,370746.688,209877.2954,686182.1766,26.87694643199999
153,153,1,20,0.155,0,0,1,0,0,0,8418.0527,0,-110100.0386,-110100.0386,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
154,154,1,25,0.155,0,0,1,0,0,0,8418.0527,0,-91929.1773,-91929.1773,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
