company,trabajo,Arena,riesgo,Escenario,estado,variable, valores ,Valor_MUSD
OXY,Perf,C,BR,Perforacion_BR,Capex,Perforacion_Inyectores,29288319,2.93
OXY,Perf,C,BR,Perforacion_BR,Capex,Facilidades,12433613,1.24
OXY,Perf,C,BR,Perforacion_BR,Capex,VPN_Portafolio,25472.63,25.47
OXY,Perf,C,BR,Perforacion_BR,Opex,Opex_Total,90891535,91
OXY,Perf,C,BR,Perforacion_BR,Opex,Oil,36214,0
OXY,Perf,C,BR,Perforacion_BR,Opex,Fluido,12277837,1.23
OXY,Perf,C,BR,Perforacion_BR,Opex,Gas,1659722,0.17
OXY,Perf,C,BR,Perforacion_BR,Opex,inyeccion_agua,7511016,0.75
OXY,Perf,C,BR,Perforacion_BR,Opex,pozo_prod,58657231,5.87
OXY,Perf,C,BR,Perforacion_BR,Opex,Pozo_iny,10749516,1.07
OXY,WO,C,AR,WO_AR,Capex,Capex_Total,95000000,95
OXY,WO,C,AR,WO_AR,Capex,WO,81595556,8.16
OXY,WO,C,AR,WO_AR,Capex,Perforacion_productores,0,0
OXY,WO,C,AR,WO_AR,Capex,Perforacion_Inyectores,0,0
OXY,WO,C,AR,WO_AR,Capex,Facilidades,13180440,1.32
OXY,WO,C,AR,WO_AR,Capex,VPN_Portafolio,66663.03,66.66
OXY,WO,C,AR,WO_AR,Opex,Opex_Total,6506705,7
OXY,WO,C,AR,WO_AR,Opex,Oil,17848,0
OXY,WO,C,AR,WO_AR,Opex,Fluido,3468367,0.35
OXY,WO,C,AR,WO_AR,Opex,Gas,696332,0.07
OXY,WO,C,AR,WO_AR,Opex,inyeccion_agua,2324159,0.23
OXY,WO,C,AR,WO_AR,Opex,pozo_prod,0,0
OXY,WO,C,AR,WO_AR,Opex,Pozo_iny,0,0
OXY,Perf,C,AR,Perforacion_AR,Capex,Capex_Total,370000000,370
OXY,Perf,C,AR,Perforacion_AR,Capex,WO,0,0
OXY,Perf,C,AR,Perforacion_AR,Capex,Perforacion_productores,245812044,24.58
OXY,Perf,C,AR,Perforacion_AR,Capex,Perforacion_Inyectores,108952546,10.9
OXY,Perf,C,AR,Perforacion_AR,Capex,Facilidades,15665249,1.57
OXY,Perf,C,AR,Perforacion_AR,Capex,VPN_Portafolio,-22518.05,-22.52
OXY,Perf,C,AR,Perforacion_AR,Opex,Opex_Total,175833674,176
OXY,Perf,C,AR,Perforacion_AR,Opex,Oil,16061,0
OXY,Perf,C,AR,Perforacion_AR,Opex,Fluido,1045140,0.1
OXY,Perf,C,AR,Perforacion_AR,Opex,Gas,557894,0.06
OXY,Perf,C,AR,Perforacion_AR,Opex,inyeccion_agua,801479,0.08
OXY,Perf,C,AR,Perforacion_AR,Opex,pozo_prod,140573300,14.06
OXY,Perf,C,AR,Perforacion_AR,Opex,Pozo_iny,32839800,3.28
OXY,CEOR,C,BR,CEOR,Capex,Capex_Total,316000000,316
OXY,CEOR,C,BR,CEOR,Capex,WO,201471760,20.15
OXY,CEOR,C,BR,CEOR,Capex,Perforacion_productores,0,0
OXY,CEOR,C,BR,CEOR,Capex,Perforacion_Inyectores,47456310,4.75
OXY,CEOR,C,BR,CEOR,Capex,Facilidades,67481802,6.75
OXY,CEOR,C,BR,CEOR,Capex,VPN_Portafolio,179087.6,179.09
OXY,CEOR,C,BR,CEOR,Opex,Opex_Total,485956496,486
OXY,CEOR,C,BR,CEOR,Opex,Oil,2370776,0.24
OXY,CEOR,C,BR,CEOR,Opex,Fluido,23642211,2.36
OXY,CEOR,C,BR,CEOR,Opex,Gas,5532110,0.55
OXY,CEOR,C,BR,CEOR,Opex,inyeccion_agua,400969634,40.1
OXY,CEOR,C,BR,CEOR,Opex,pozo_prod,0,0
OXY,CEOR,C,BR,CEOR,Opex,Pozo_iny,53441765,5.34
OXY,I,AYB,BR,E1,Capex,Capex_Total,354484433,354
OXY,I,AYB,BR,E1,Capex,WO,0,0
OXY,I,AYB,BR,E1,Capex,Perforacion_productores,121514567,12.15
OXY,I,AYB,BR,E1,Capex,Perforacion_Inyectores,101613154,10.16
OXY,I,AYB,BR,E1,Capex,Facilidades,131356711,13.14
OXY,I,AYB,BR,E1,Capex,VPN_Portafolio,121434.72,121.43
OXY,I,AYB,BR,E1,Opex,Opex_Total,729212872,729
OXY,I,AYB,BR,E1,Opex,Oil,632951,0.06
OXY,I,AYB,BR,E1,Opex,Fluido,101471360,10.15
OXY,I,AYB,BR,E1,Opex,Gas,0,0
OXY,I,AYB,BR,E1,Opex,inyeccion_agua,382008564,38.2
OXY,I,AYB,BR,E1,Opex,pozo_prod,174162648,17.42
OXY,I,AYB,BR,E1,Opex,Pozo_iny,70937349,7.09
OXY,II,AYB,BR,E2,Capex,Capex_Total,395098785,395
OXY,II,AYB,BR,E2,Capex,WO,0,0
OXY,II,AYB,BR,E2,Capex,Perforacion_productores,204725629,20.47
OXY,II,AYB,BR,E2,Capex,Perforacion_Inyectores,175868921,17.59
OXY,II,AYB,BR,E2,Capex,Facilidades,14504235,1.45
OXY,II,AYB,BR,E2,Capex,VPN_Portafolio,-37489.85,-37.49
OXY,II,AYB,BR,E2,Opex,Opex_Total,624160275,624
OXY,II,AYB,BR,E2,Opex,Oil,268917,0.03
OXY,II,AYB,BR,E2,Opex,Fluido,48527051,4.85
OXY,II,AYB,BR,E2,Opex,Gas,0,0
OXY,II,AYB,BR,E2,Opex,inyeccion_agua,184894892,18.49
OXY,II,AYB,BR,E2,Opex,pozo_prod,275647400,27.56
OXY,II,AYB,BR,E2,Opex,Pozo_iny,114822015,11.48
OXY,III,AYB,BR,E3,Capex,Capex_Total,1161653160,1162
OXY,III,AYB,BR,E3,Capex,WO,0,0
OXY,III,AYB,BR,E3,Capex,Perforacion_productores,653801203,65.38
OXY,III,AYB,BR,E3,Capex,Perforacion_Inyectores,471589254,47.16
OXY,III,AYB,BR,E3,Capex,Facilidades,36262702,3.63
OXY,III,AYB,BR,E3,Capex,VPN_Portafolio,-121651.01,-121.65
OXY,III,AYB,BR,E3,Opex,Opex_Total,1513793229,1514
OXY,III,AYB,BR,E3,Opex,Oil,657549,0.07
OXY,III,AYB,BR,E3,Opex,Fluido,93265886,9.33
OXY,III,AYB,BR,E3,Opex,Gas,0,0
OXY,III,AYB,BR,E3,Opex,inyeccion_agua,342934602,34.29
OXY,III,AYB,BR,E3,Opex,pozo_prod,796647500,79.66
OXY,III,AYB,BR,E3,Opex,Pozo_iny,280287693,28.03
OXY,IV,AYB,BR,E4,Capex,Capex_Total,759478185,759
