,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
40,40,20,0,0.52,1,0,1,1,0,1,0,1,1,1,0,58664.319,0,-35876.4259,-35876.4259,0.0,151013.7281,209877.2954,293480.9116,0.0,4.998120926066667,4.998120926066667
41,41,20,0,0.52,1,0,1,1,0,1,0,1,1,0,0,40867.483,0,-27531.9876,-27531.9876,0.0,108900.7753,209877.2954,268899.9562,0.0,3.6325494261333344,3.6325494261333344
42,42,20,0,0.52,1,0,1,1,0,1,0,1,0,1,0,43830.6818,0,-30884.8235,-30884.8235,0.0,118882.1411,209877.2954,283379.7308,0.0,3.752952034,3.752952034
43,43,20,0,0.52,1,0,1,1,0,1,0,1,0,0,0,26032.0451,0,-22410.8479,-22410.8479,0.0,76769.1883,209877.2954,258798.7754,0.0,2.445195512066667,2.445195512066667
44,44,20,0,0.52,1,0,1,1,0,1,0,0,1,1,0,45889.7108,0,-30162.6786,-30162.6786,0.0,123389.8373,209877.2954,271090.5805,0.0,3.829151234566667,3.829151234566667
45,45,20,0,0.52,1,0,1,1,0,1,0,0,1,0,0,28092.8747,0,-21688.7031,-21688.7031,0.0,81276.8844,209877.2954,246509.6251,0.0,2.521394712633333,2.521394712633333
46,46,20,0,0.52,1,0,1,1,0,1,0,0,0,1,0,31018.6266,0,-24995.3136,-24995.3136,0.0,91258.2503,209877.2954,260989.3998,0.0,2.6732231391666668,2.6732231391666668
47,47,20,0,0.52,1,0,1,1,0,1,0,0,0,0,0,13316.0317,0,-16299.6233,-16299.6233,0.0,49145.2975,209877.2954,236408.4444,0.0,1.313484679,1.313484679
48,48,20,0,0.52,1,0,1,1,0,0,1,1,1,1,0,69197.5826,0,-39337.1289,-39337.1289,0.0,171389.3083,209877.2954,308149.0848,0.0,5.763920289833334,5.763920289833334
49,49,20,0,0.52,1,0,1,1,0,0,1,1,1,0,0,51400.7465,0,-30992.6906,-30992.6906,0.0,129276.3555,209877.2954,283568.1294,0.0,4.3983487899,4.3983487899
50,50,20,0,0.52,1,0,1,1,0,0,1,1,0,1,0,54363.9453,0,-34221.7706,-34221.7706,0.0,139257.7214,209877.2954,298047.9041,0.0,4.734169336433334,4.734169336433334
51,51,20,0,0.52,1,0,1,1,0,0,1,1,0,0,0,36545.8072,0,-25951.1608,-25951.1608,0.0,97144.7686,209877.2954,273466.9487,0.0,3.1774573740000003,3.1774573740000003
52,52,20,0,0.52,1,0,1,1,0,0,1,0,1,1,0,56422.9743,0,-33525.4262,-33525.4262,0.0,143765.4175,209877.2954,285758.7538,0.0,4.788580129666667,4.788580129666667
53,53,20,0,0.52,1,0,1,1,0,0,1,0,1,0,0,38626.1383,0,-25229.0159,-25229.0159,0.0,101652.4647,209877.2954,261177.7984,0.0,3.253656574566667,3.253656574566667
54,54,20,0,0.52,1,0,1,1,0,0,1,0,0,1,0,41532.3887,0,-28445.0146,-28445.0146,0.0,111633.8305,209877.2954,275657.573,0.0,3.5774319385999998,3.5774319385999998
55,55,20,0,0.52,1,0,1,1,0,0,1,0,0,0,0,23829.7938,0,-20001.4887,-20001.4887,0.0,69520.8777,209877.2954,251076.6176,0.0,2.1229152555000006,2.1229152555000006
56,56,20,0,0.52,1,0,1,1,0,0,0,1,1,1,0,36517.7656,0,-26472.7537,-26472.7537,0.0,101868.4306,209877.2954,266949.7627,0.0,3.199519637166666,3.199519637166666
57,57,20,0,0.52,1,0,1,1,0,0,0,1,1,0,0,18815.1707,0,-17960.6918,-17960.6918,0.0,59755.4778,209877.2954,242368.8073,0.0,1.7603955759000003,1.7603955759000003
58,58,20,0,0.52,1,0,1,1,0,0,0,1,0,1,0,21821.0927,0,-21176.4951,-21176.4951,0.0,69736.8437,209877.2954,256848.5819,0.0,2.069680975266667,2.069680975266667
59,59,20,0,0.52,1,0,1,1,0,0,0,1,0,0,0,4147.9614,0,-12253.3651,-12253.3651,0.0,27623.8908,209877.2954,232267.6265,0.0,0.5108322734666667,0.5108322734666667
60,60,20,0,0.52,1,0,1,1,0,0,0,0,1,1,0,23801.7522,0,-20417.357,-20417.357,0.0,74244.5398,209877.2954,244559.4316,0.0,2.1691499721666667,2.1691499721666667
61,61,20,0,0.52,1,0,1,1,0,0,0,0,1,0,0,6246.786,0,-11365.5402,-11365.5402,0.0,32131.587,209877.2954,219978.4762,0.0,0.6795596898999999,0.6795596898999999
62,62,20,0,0.52,1,0,1,1,0,0,0,0,0,1,0,9252.0715,0,-14660.8391,-14660.8391,0.0,42112.9528,209877.2954,234458.2509,0.0,1.0503130040000002,1.0503130040000002
63,63,20,0,0.52,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,209877.2954,209877.2954,0.0,0.0,0.0
64,64,20,0,0.52,1,0,1,0,1,1,1,1,1,1,0,69123.1444,0,-21555.5154,-21555.5154,0.0,133981.4573,209877.2954,223083.9622,0.0,4.864387180466666,4.864387180466666
65,65,20,0,0.52,1,0,1,0,1,1,1,1,1,0,0,56723.8185,0,-20189.0572,-20189.0572,0.0,115190.2605,209877.2954,222740.3302,0.0,4.1440215102,4.1440215102
66,66,20,0,0.52,1,0,1,0,1,1,1,1,0,1,0,54680.3933,0,-19144.1281,-19144.1281,0.0,109859.1402,209877.2954,221442.5407,0.0,3.8647889336333345,3.8647889336333345
67,67,20,0,0.52,1,0,1,0,1,1,1,1,0,0,0,42308.1388,0,-17718.7268,-17718.7268,0.0,91067.9433,209877.2954,221098.9086,0.0,3.1601360145333333,3.1601360145333333
68,68,20,0,0.52,1,0,1,0,1,1,1,0,1,1,0,64571.006,0,-20676.5281,-20676.5281,0.0,125982.049,209877.2954,221788.4915,0.0,4.5808551061,4.5808551061
69,69,20,0,0.52,1,0,1,0,1,1,1,0,1,0,0,52180.5439,0,-19310.0699,-19310.0699,0.0,107190.8522,209877.2954,221444.8595,0.0,3.8604894358333333,3.8604894358333333
70,70,20,0,0.52,1,0,1,0,1,1,1,0,0,1,0,50137.1618,0,-18242.4167,-18242.4167,0.0,101859.7318,209877.2954,220147.0699,0.0,3.5889206669333333,3.5889206669333333
71,71,20,0,0.52,1,0,1,0,1,1,1,0,0,0,0,37776.9411,0,-16807.6192,-16807.6192,0.0,83068.535,209877.2954,219803.4379,0.0,2.771578901,2.771578901
